Transformation,accuracy,precision,recall,f1,roc_auc
jpeg_q75,0.49566666666666664,0.48484848484848486,0.13866666666666666,0.21565578019699327,0.4908328888888889
jpeg_q50,0.5,0.5,0.064,0.11347517730496454,0.4865777777777778
resize_down_up,0.5,0.5,0.005333333333333333,0.010554089709762533,0.49848977777777775
center_crop,0.5166666666666667,0.5722543352601156,0.132,0.21451787648970747,0.6473431111111111
gaussian_noise,0.5046666666666667,0.5036008230452675,0.6526666666666666,0.5685249709639953,0.505503111111111
screenshot_like,0.5036666666666667,0.582089552238806,0.026,0.04977664326738992,0.6119577777777777
